Date,No.1,No.2,No.3,No.4,No.5,powerball
22/04/1992,2,25,35,41,42,15
25/04/1992,6,9,22,42,44,12
29/04/1992,1,8,10,28,35,10
02/05/1992,14,23,31,32,41,33
06/05/1992,27,29,30,36,43,4
09/05/1992,1,12,16,23,31,33
13/05/1992,3,6,13,33,43,37
16/05/1992,2,9,19,28,30,38
20/05/1992,3,11,16,30,34,45
23/05/1992,23,27,28,36,44,26
27/05/1992,30,32,41,42,44,6
30/05/1992,4,8,17,19,45,9
03/06/1992,1,2,11,19,30,15
06/06/1992,2,6,9,10,42,20
10/06/1992,1,8,24,30,36,28
13/06/1992,13,27,29,42,43,41
17/06/1992,1,9,14,26,32,13
20/06/1992,7,11,15,21,35,12
24/06/1992,9,10,19,36,40,39
27/06/1992,17,23,24,31,35,25
01/07/1992,10,24,31,33,45,30
04/07/1992,5,7,15,22,45,31
08/07/1992,9,25,28,35,43,13
11/07/1992,9,11,24,28,44,20
15/07/1992,12,18,24,30,36,32
18/07/1992,2,5,18,19,35,40
22/07/1992,4,16,18,19,36,3
25/07/1992,15,21,27,32,37,37
29/07/1992,1,12,29,35,42,29
01/08/1992,10,15,17,20,28,29
05/08/1992,8,15,21,26,38,6
08/08/1992,5,14,19,26,30,27
12/08/1992,2,3,6,11,23,33
15/08/1992,7,16,17,42,45,12
19/08/1992,2,5,9,11,17,41
22/08/1992,4,36,40,43,44,43
26/08/1992,6,7,25,33,36,1
29/08/1992,14,17,30,32,41,27
02/09/1992,3,9,16,24,34,5
05/09/1992,3,4,23,24,34,6
09/09/1992,12,17,27,33,37,37
12/09/1992,10,20,22,26,34,35
16/09/1992,9,13,25,33,34,20
19/09/1992,17,19,21,29,36,45
23/09/1992,12,18,20,26,40,11
26/09/1992,17,24,40,44,45,14
30/09/1992,2,9,22,23,24,6
03/10/1992,18,36,39,40,43,5
07/10/1992,9,10,20,31,34,10
10/10/1992,3,8,23,26,35,34
14/10/1992,18,20,23,34,40,2
17/10/1992,5,13,22,28,29,12
21/10/1992,6,23,26,28,29,36
24/10/1992,3,16,24,31,35,16
28/10/1992,1,4,10,18,36,28
31/10/1992,9,15,17,26,43,22
04/11/1992,6,8,9,22,30,36
07/11/1992,2,3,22,39,42,21
11/11/1992,4,31,34,38,44,39
14/11/1992,16,21,24,36,43,19
18/11/1992,15,27,31,35,45,7
21/11/1992,2,28,36,44,45,17
25/11/1992,10,12,14,20,26,35
28/11/1992,11,15,35,39,40,23
02/12/1992,1,4,26,35,42,28
05/12/1992,9,17,19,40,41,31
09/12/1992,6,17,22,27,34,22
12/12/1992,9,28,40,42,44,12
16/12/1992,4,7,11,25,40,24
