Date,No.1,No.2,No.3,No.4,No.5,No.6,Bonus
19/11/1994,30,3,5,44,14,22,10
26/11/1994,16,6,44,31,12,15,37
03/12/1994,21,11,17,30,29,40,31
10/12/1994,26,47,49,43,35,38,28
17/12/1994,13,3,38,5,14,9,30
24/12/1994,27,29,39,3,44,2,6
31/12/1994,17,44,36,32,9,42,16
07/01/1995,21,32,2,5,25,22,46
14/01/1995,23,38,17,7,32,42,48
21/01/1995,47,6,16,31,30,20,4
28/01/1995,31,16,25,43,4,26,21
04/02/1995,46,42,1,38,7,37,20
11/02/1995,48,38,15,29,18,35,5
18/02/1995,45,16,36,19,21,29,43
25/02/1995,18,33,8,31,5,10,28
04/03/1995,17,36,11,12,42,26,13
11/03/1995,2,22,13,46,29,27,36
18/03/1995,41,19,31,18,9,24,21
25/03/1995,4,49,41,44,42,17,24
01/04/1995,43,41,22,25,30,32,29
08/04/1995,42,17,22,24,47,14,34
15/04/1995,1,23,26,4,6,49,8
22/04/1995,33,36,8,20,38,18,46
29/04/1995,31,9,15,34,48,22,23
06/05/1995,35,14,48,17,43,5,22
13/05/1995,41,16,28,25,7,26,19
20/05/1995,46,15,17,28,16,32,22
27/05/1995,45,12,25,37,44,13,9
03/06/1995,31,1,29,40,21,32,27
10/06/1995,44,15,26,46,12,49,14
17/06/1995,48,30,40,27,38,33,2
24/06/1995,5,43,45,21,15,42,20
01/07/1995,25,7,8,5,48,44,3
08/07/1995,3,14,11,20,1,40,45
15/07/1995,1,4,43,20,31,41,38
22/07/1995,3,21,22,2,23,40,24
29/07/1995,41,34,49,28,46,45,11
05/08/1995,35,1,25,30,45,8,15
12/08/1995,25,33,28,47,11,34,48
19/08/1995,24,23,48,5,8,28,19
26/08/1995,21,41,18,38,16,27,26
02/09/1995,40,49,28,15,1,22,44
09/09/1995,12,22,41,2,20,45,47
16/09/1995,37,14,25,41,10,2,5
23/09/1995,10,34,24,19,5,46,28
30/09/1995,11,33,40,10,32,29,16
07/10/1995,28,37,10,30,36,22,45
14/10/1995,25,30,9,5,4,47,17
21/10/1995,17,19,2,21,6,47,5
28/10/1995,16,33,44,27,35,7,5
04/11/1995,6,14,18,48,27,44,1
11/11/1995,23,28,48,10,7,30,3
18/11/1995,33,7,4,48,18,45,1
25/11/1995,46,42,28,16,30,23,45
02/12/1995,26,16,19,46,15,35,7
09/12/1995,5,26,29,12,11,33,20
16/12/1995,23,49,7,28,35,8,10
23/12/1995,40,47,6,49,34,11,16
30/12/1995,6,43,42,39,45,32,36
06/01/1996,4,13,2,3,42,44,24
13/01/1996,31,32,48,21,29,34,25
20/01/1996,23,37,33,30,25,5,3
27/01/1996,16,41,38,17,43,42,28
03/02/1996,2,32,44,22,9,26,40
10/02/1996,14,28,11,4,15,42,6
17/02/1996,18,14,16,22,4,15,33
24/02/1996,5,24,44,2,7,35,30
02/03/1996,41,11,9,24,45,12,6
09/03/1996,45,30,37,16,29,14,7
16/03/1996,19,38,48,12,28,2,45
23/03/1996,30,18,5,14,43,7,28
30/03/1996,37,12,49,27,26,28,43
06/04/1996,38,4,14,1,17,6,9
13/04/1996,38,47,23,44,49,40,12
20/04/1996,40,31,9,29,28,48,23
27/04/1996,18,11,31,48,6,4,41
04/05/1996,47,6,33,25,26,34,49
11/05/1996,7,48,12,10,22,34,11
18/05/1996,33,46,4,40,13,12,41
25/05/1996,8,26,42,20,34,43,25
01/06/1996,35,45,24,37,36,39,20
08/06/1996,32,15,17,11,25,46,29
15/06/1996,47,25,18,44,13,46,34
22/06/1996,4,7,11,17,3,40,20
